Matthew,28,Matthew's personal account of Jesus's life and death.
Mark,16,Mark's personal account of Jesus's life and death.
Luke,24,Luke's second-hand account of Jesus's life and death.
John,21,John's personal account of Jesus's life and death.
Acts,28,Actions of the apostles after Jesus' ascension.
Romans,16,Paul's letter to the Romans about salvation through Jesus.
1 Corinthians,16,Paul's first letter to the Corinthians.
2 Corinthians,13,Paul's second letter to the Corinthians.
Galatians,6,Paul's letter to the Galatians.
Ephesians,6,Paul's letter to the Ephesians.
Philippians,4,Paul's letter to the Philippians.
Colossians,4,Paul's letter to the Colossians.
1 Thessalonians,5,Paul's first letter to the Thessalonians.
2 Thessalonians,3,Paul's second letter to the Thessalonians.
1 Timothy,6,Paul's first letter to Timothy.
2 Timothy,4,Paul's second letter to Timothy.
Titus,3,Paul's letter to Titus.
Philemon,1,Paul's letter to Philemon.
Hebrews,13,Paul's letter to the Hebrews.
James,5,James' letter to the Hebrews.
1 Peter,5,Peter's first letter to the churches of Asia Minor.
2 Peter,3,Peter's second letter to the churches of Asia Minor.
1 John,5,John the Evangelist's first letter to all Christians.
2 John,1,John the Evangelist's second letter to all Christians.
3 John,1,A private letter from John the Evangelist to Gaius.
Jude,1,A letter from Jude to any readers.
Revelation,22,A book wherein John the Apostle explains his vision of the Second Coming.
